site_code/Field No.	Site	plot_number	CU Code	Year_est	Age	OS_location	Lat_long	Establishment	pH	EC	Cutting	Cattle	Sheep	Plough
	HorntonHouseFarm_1_parallel	Q7	CU0298	2016	5	SU0584565118	"51.385079, -1.917395"	seed_mix	8.6	29.5	1	1	1	0
	HorntonHouseFarm_1_parallel	Q10	CU0299	2016	5	SU0584565118	"51.385079, -1.917395"	seed_mix	8.6	29.5	1	1	1	0
	HorntonHouseFarm_1_parallel	Q13	CU0300	2016	5	SU0584565118	"51.385079, -1.917395"	seed_mix	8.6	29.5	1	1	1	0
32	TownsendFarm_1	Q1	CU0301	2017	4	SU0775065316	"51.386837, -1.8900159"	seed_mix	8.2	36.6	1	0	1	0
	TownsendFarm_1	Q4	CU0302	2017	4	SU0775065316	"51.386837, -1.8900159"	seed_mix	8.2	36.6	1	0	1	0
	TownsendFarm_1	Q7	CU0303	2017	4	SU0775065316	"51.386837, -1.8900159"	seed_mix	8.2	36.6	1	0	1	0
	TownsendFarm_1	Q10	CU0304	2017	4	SU0775065316	"51.386837, -1.8900159"	seed_mix	8.2	36.6	1	0	1	0
	TownsendFarm_1	Q13	CU0305	2017	4	SU0775065316	"51.386837, -1.8900159"	seed_mix	8.2	36.6	1	0	1	0
33	TownsendFarm_2	Q1	CU0306	2010	11	SU0705164722	"51.381505, -1.9000725"	seed_mix	8.45	21.2	1	0	1	0
	TownsendFarm_2	Q4	CU0307	2010	11	SU0705164722	"51.381505, -1.9000725"	seed_mix	8.45	21.2	1	0	1	0
	TownsendFarm_2	Q7	CU0308	2010	11	SU0705164722	"51.381505, -1.9000725"	seed_mix	8.45	21.2	1	0	1	0
	TownsendFarm_2	Q10	CU0309	2010	11	SU0705164722	"51.381505, -1.9000725"	seed_mix	8.45	21.2	1	0	1	0
	TownsendFarm_2	Q13	CU0310	2010	11	SU0705164722	"51.381505, -1.9000725"	seed_mix	8.45	21.2	1	0	1	0
34	TownsendFarm_3_big	Q1	CU0311	2014	7	SU0886965184	"51.385634, -1.8739384"	Green_hay/bush	7.92	42.7	1	0	1	0
	TownsendFarm_3_big	Q4	CU0312	2014	7	SU0886965184	"51.385634, -1.8739384"	Green_hay/bush	7.92	42.7	1	0	1	0
	TownsendFarm_3_big	Q7	CU0313	2014	7	SU0886965184	"51.385634, -1.8739384"	Green_hay/bush	7.92	42.7	1	0	1	0
	TownsendFarm_3_big	Q10	CU0314	2014	7	SU0886965184	"51.385634, -1.8739384"	Green_hay/bush	7.92	42.7	1	0	1	0
	TownsendFarm_3_big	Q13	CU0315	2014	7	SU0886965184	"51.385634, -1.8739384"	Green_hay/bush	7.92	42.7	1	0	1	0
35	ChurchFarm	Q1	CU0316	2012	9	SU0979864321	"51.377859, -1.8606121"	seed_mix	8.63	20.7	1	1	1	0
	ChurchFarm	Q4	CU0317	2012	9	SU0979864321	"51.377859, -1.8606121"	seed_mix	8.63	20.7	1	1	1	0
	ChurchFarm	Q7	CU0318	2012	9	SU0979864321	"51.377859, -1.8606121"	seed_mix	8.63	20.7	1	1	1	0
	ChurchFarm	Q10	CU0319	2012	9	SU0979864321	"51.377859, -1.8606121"	seed_mix	8.63	20.7	1	1	1	0
	ChurchFarm	Q13	CU0320	2012	9	SU0979864321	"51.377859, -1.8606121"	seed_mix	8.63	20.7	1	1	1	0
36	StowellFarms_1_adj	Q1	CU0321	2015	6	SU1362464180	"51.376513, -1.8056466"	seed_mix	6.6	21.8	1	1	1	1
	StowellFarms_1_adj	Q4	CU0322	2015	6	SU1362464180	"51.376513, -1.8056466"	seed_mix	6.6	21.8	1	1	1	1
	StowellFarms_1_adj	Q7	CU0323	2015	6	SU1362464180	"51.376513, -1.8056466"	seed_mix	6.6	21.8	1	1	1	1
	StowellFarms_1_adj	Q10	CU0324	2015	6	SU1362464180	"51.376513, -1.8056466"	seed_mix	6.6	21.8	1	1	1	1
	StowellFarms_1_adj	Q13	CU0325	2015	6	SU1362464180	"51.376513, -1.8056466"	seed_mix	6.6	21.8	1	1	1	1
37	MannorFmAltonBarnes	Q1	CU0326	2012	9	SU1211561331	"51.35093, -1.827423"	seed_mix	8.07	21.6	1	1	1	0
	MannorFmAltonBarnes	Q4	CU0327	2012	9	SU1211561331	"51.35093, -1.827423"	seed_mix	8.07	21.6	1	1	1	0
	MannorFmAltonBarnes	Q7	CU0328	2012	9	SU1211561331	"51.35093, -1.827423"	seed_mix	8.07	21.6	1	1	1	0
	MannorFmAltonBarnes	Q10	CU0329	2012	9	SU1211561331	"51.35093, -1.827423"	seed_mix	8.07	21.6	1	1	1	0
	MannorFmAltonBarnes	Q13	CU0330	2012	9	SU1211561331	"51.35093, -1.827423"	seed_mix	8.07	21.6	1	1	1	0
38	HommingtonFarm	Q1	CU0331	2014	7	SU1332825982	"51.033048, -1.811306"	seed_mix	8.22	26.3	1	1	1	1
	HommingtonFarm	Q4	CU0332	2014	7	SU1332825982	"51.033048, -1.811306"	seed_mix	8.22	26.3	1	1	1	1
	HommingtonFarm	Q7	CU0333	2014	7	SU1332825982	"51.033048, -1.811306"	seed_mix	8.22	26.3	1	1	1	1
	HommingtonFarm	Q10	CU0334	2014	7	SU1332825982	"51.033048, -1.811306"	seed_mix	8.22	26.3	1	1	1	1
